رقم الخط,المواقف,السعر
62,"الزاوية الحمراء, منشية الجمل, م حدائق القبة, الفنجري, طريق النصر, مكرم عبيد, الحي العاشر, زهراء مدينة نصر, التجمع الأول",20 جنيه
64,"الزاوية الحمراء, منشية الجمل, حدائق القبة, الخليفة المأمون, روكسي, شارع الأهرام, سفير, شارع النزهة, شارع الثورة, مدينة الأمل",20 جنيه
66,"الحي الثامن, مصطفى النحاس, هشام بركات, الطيران, صلاح سالم, لطفي السيد, كوبري 15 مايو, الزمالك, شارع عرابي, ش السودان, مدينة الطلبة",20 جنيه
69,"عرب المساعيد, محور عدلي منصور, ش الحرية, المطرية, التجنيد, المحكمة, سفير, روكسي, الخليفة المأمون, عباسية, شارع الجيش, عتبة",20 جنيه
72,"المظلات, ترعة الاسماعيلية, السواح, روكسي, النزهة, اول عباس, اول مكرم, الأوتوستراد, مساكن الشروق",20 جنيه
74,"بيرتي بدار, جسر السويس, الألف مسكن, الحجاز, المحكمة, الأهرام, روكسي, عباسية, رمسيس, الزمالك, جامعة الدول العربية, بولاق الدكرور",20 جنيه
76,"مساكن شيراتون, عبد الحميد بدوي, الحجاز, الأهرام, الخليفة المأمون, العباسية, رمسيس, عبد المنعم رياض, الزمالك, الكيت كات, امبابة",20 جنيه
78,"الدراسة, باب الشعيرية, الموسكي, السيدة زينب, القصر العيني, جامعة القاهرة, ميدان الجيزة, العمرانية",20 جنيه
79,"عرب الطويلة, ش التروللى, ترعة الاسماعيلية, ش بورسعيد, م السيدة زينب, السيدة عائشة, البساتين",20 جنيه
80,"مساكن اسكو, الشارع الجديد, ميدان المطرية, حدائق القبة, العباسية, شارع بورسعيد, صلاح سالم, الدراسة",20 جنيه
81,"كوبري عرابي, بالمظلات, السواح, الطيران, مكرم عبيد, الميثاق, زهراء مدينة نصر, التجمع الاول",20 جنيه
82,"التجمع الاول, مكرم عبيد, طريق النصر, يوسف عباس, صلاح سالم, البعوث, احمد سعيد, احمد حلمي",20 جنيه
83,"زهراء عين شمس, ش عين شمس, ميدان ابن الحكم, التجنيد, ابوبكر الصديق, ش النزهة, عباس العقاد, ش احمد الزمر, زهراء مدينة نصر, التجمع الاول",20 جنيه
84,"احمد حلمي, عباسية, صلاح سالم, هشام بركات, عبد الله العربي, احمد الزمر, الحي الثامن",20 جنيه
85,"مساكن الشروق, احمد فخري, الاوتوستراد, امتداد رمسيس, عباسية, شارع لطفي السيد, رمسيس, ك 15 مايو, ش النيل, وراق الحضر",20 جنيه
87,"مساکن اسكو, ش بورسعيد, سكة الوايلي, الفنجري, هشام بركات, مصطفى النحاس, الحي العاشر, التجمع الاول",20 جنيه
88,"مساكن اسكو, شبرا الخيمة, كورنيش النيل, تحرير, السيدة زينب, السيدة عائشة, مجرى العيون, السيدة نفيسة",20 جنيه
89,"مساكن اسكو, الشارع الجديد, مسطرد, السواح, ش بورسعيد, م السيدة زينب, مساكن زينهم, السيدة نفيسة",20 جنيه
90,"مساكن اسكو, كوبري عرابي, المظلات, رمسيس, عتبة, ش بورسعيد, السيدة زينب, كوبري الجامعة, الجيزة",20 جنيه
